Domain,SubDomain,Capability,Component,Product ID
Security,Data Protection,Data Usage Monitoring,3rd Party DLP,ICTO-11221
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4950
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-31588
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-46
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-400
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4647
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-29968
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-46
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-27160
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-11209
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-12739
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-4647
Security,Identity & Access Management,Privilege Access Management,Access Control for Shared Accounts,ICTO-28197
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-30256
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-33970
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-30780
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-372
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-623
Security,Identity & Access Management,Access Management and Governance (Clients),Access Management/Authorisation Capabilities,ICTO-25224
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-4950
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-31588
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-46
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-25713
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Request,ICTO-4647
Security,Identity & Access Management,Access Management and Governance (Clients),Access Rights Entitlement Definition / Mapping,ICTO-30256
Security,Identity & Access Management,Access Management and Governance (Clients),Access Rights Entitlement Definition / Mapping,ICTO-372
Security,Identity & Access Management,Access Management and Governance (Clients),Access Rights Entitlement Definition / Mapping,ICTO-623
Security,Identity & Access Management,Access Management and Governance (Clients),Access Rights Entitlement Definition / Mapping,ICTO-26466
Security,Identity & Access Management,Authentication and Federation,Adaptive Authentication,ICTO-34124
Security,Identity & Access Management,Privilege Access Management,Application-to-Application Password Management,ICTO-30802
Security,Application Security,Governance & Design,Application/Software Threat Modelling,ICTO-34012
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Assignment,ICTO-30256
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Assignment,ICTO-372
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Assignment,ICTO-623
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Restrictions,ICTO-30256
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Restrictions,ICTO-372
Security,Identity & Access Management,Access Management and Governance (Clients),Automated Entitlement Restrictions,ICTO-623
Security,Network Security,Secure Network and Internet Access,B2B VPN-Gateway,ICTO-4941
Security,Identity & Access Management,Authentication and Federation,Biometric Authentication Methods,ICTO-32589
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-24002
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-30277
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-17063
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-18368
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-24899
Security,Data Protection,Encryption & Key Management,Certificate Lifecycle Management,ICTO-18356
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-29968
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-27160
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-12739
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Certify Security Definitions,ICTO-4647
Security,Identity & Access Management,Identity Management (Clients),Client Identifier Generation,ICTO-27159
Security,Identity & Access Management,Identity Management (Clients),Client Identifier Generation,ICTO-9240
Security,Identity & Access Management,Identity Management (Clients),"Client Identity Request, Modification and Deletion",ICTO-33033
Security,Identity & Access Management,Identity Management (Clients),Client User Onboarding and Identity Creation,ICTO-30256
Security,Identity & Access Management,Identity Management (Clients),Client User Onboarding and Identity Creation,ICTO-31588
Security,Identity & Access Management,Identity Management (Clients),Client User Onboarding and Identity Creation,ICTO-623
Security,Data Protection,Data Usage Monitoring,Cloud Access Security Broker (CASB),ICTO-30145
Security,Data Protection,Encryption & Key Management,Cloud Key Management,ICTO-33565
Security,Data Protection,Encryption & Key Management,Cloud Key Management,ICTO-30819
Security,Cyber Security,Cyber Threat Intelligence,Collection,ICTO-29420
Security,Identity & Access Management,Privilege Access Management,Conditional Access,ICTO-31454
Security,Cyber Security,Threat Defence Analysis,Control Gap Analysis,ICTO-32666
Security,Cyber Security,Threat Defence Analysis,Control Gap Analysis,ICTO-28307
Security,Cyber Security,Threat Defence Analysis,Control Gap Analysis,ICTO-33826
Security,Cyber Security,Threat Defence Analysis,Control Gap Analysis,ICTO-34096
Security,Identity & Access Management,Credentials,"Credential Distribution (hard token, mobile registration)",ICTO-372
Security,Data Protection,Document Management,Cryptographic Document Signing,ICTO-17642
Security,Cyber Security,Security Analytics,Data Analytics and Machine Learning,ICTO-27985
Security,Data Protection,Data Usage Monitoring,Data Classification,ICTO-34390
Security,Data Protection,Data Usage Monitoring,Data Visibility,ICTO-26224
Security,Network Security,Network Protection,DDoS Protection,ICTO-31326
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-29968
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-27160
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-12739
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Define Security Definitions,ICTO-4647
Security,Cyber Security,Security Analytics,Detection Use Case Management,ICTO-27985
Security,Cyber Security,Security Analytics,Detection Use Case Management,ICTO-17669
Security,Physical & Device Security,IoT Security,Device Management,ICTO-33698
Security,Physical & Device Security,IoT Security,Device Management,ICTO-29274
Security,Application Security,Secure Integration,Dynamic Application Security Testing,ICTO-32486
Security,Application Security,Secure Integration,Dynamic Application Security Testing,ICTO-34084
Security,Application Security,Secure Integration,Dynamic Application Security Testing,ICTO-33824
Security,Data Protection,Data Usage Monitoring,E-Discovery Software,ICTO-24770
Security,Data Protection,Data Usage Monitoring,E-Discovery Software,ICTO-29156
Security,Data Protection,Data Usage Monitoring,Email DLP,ICTO-18808
Security,Data Protection,Data Usage Monitoring,Email DLP,ICTO-31984
Security,Identity & Access Management,Privilege Access Management,Emergency Access Management (BreakGlass),ICTO-18844
Security,Identity & Access Management,Privilege Access Management,Emergency Access Management (BreakGlass),ICTO-15834
Security,Cyber Security,Threat Detection & Response,Endpoint Detection and Response,ICTO-20767
Security,Cyber Security,Threat Detection & Response,Endpoint Detection and Response,ICTO-29906
Security,Cyber Security,Threat Detection & Response,Endpoint Detection and Response,ICTO-34175
Security,End User System Security,Data Protection,Endpoint DLP,ICTO-17665
Security,End User System Security,Data Protection,Endpoint DLP,ICTO-30830
Security,Cyber Security,Threat Detection & Response,Exploit Prevention and Memory Protection,ICTO-17461
Security,Cyber Security,Threat Detection & Response,Exploit Prevention and Memory Protection,ICTO-17459
Security,Cyber Security,Threat Detection & Response,Exploit Prevention and Memory Protection,ICTO-17458
Security,Cyber Security,Threat Detection & Response,Exploit Prevention and Memory Protection,ICTO-29634
Security,Cyber Security,Threat Detection & Response,Exploit Prevention and Memory Protection,ICTO-15431
Security,Identity & Access Management,Authentication and Federation,Federated Identity Authorization,ICTO-33325
Security,Identity & Access Management,Authentication and Federation,Federated Identity Authorization,ICTO-17717
Security,Identity & Access Management,Authentication and Federation,Federated Identity Authorization,ICTO-32363
Security,Identity & Access Management,Authentication and Federation,Federated Identity Authorization,ICTO-27370
Security,Identity & Access Management,Authentication and Federation,Federated Identity Authorization,ICTO-26711
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-17700
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32549
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-34196
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-34251
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-20582
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32546
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33214
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32803
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-26711
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32548
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-27446
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-25741
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-14094
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33351
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33414
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32552
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33350
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33415
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32550
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33348
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-33561
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-32551
Security,Identity & Access Management,Authentication and Federation,Federated Identity/SSO,ICTO-26466
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-33021
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-28385
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-31737
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-23768
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-29305
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-17085
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-26185
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-25956
Security,Cyber Security,Threat Detection & Response,Forensic Investigation,ICTO-24769
Security,GRC,Compliance,GRC,ICTO-15780
Security,GRC,Compliance,GRC,ICTO-30795
Security,GRC,Compliance,GRC,ICTO-33905
Security,End User System Security,Endpoint Protection,Hardened Build,ICTO-32003
Security,Data Protection,Encryption & Key Management,HSM - Extension of storage,ICTO-26223
Security,Data Protection,Encryption & Key Management,HSM - Extension of storage,ICTO-33739
Security,Data Protection,Encryption & Key Management,HSM - Request for encryption and/or key management,ICTO-34276
Security,Data Protection,Encryption & Key Management,HSM - Request for encryption and/or key management,ICTO-33639
Security,Data Protection,Encryption & Key Management,HSM - Request for encryption and/or key management,ICTO-26223
Security,Network Security,Network Threat Detection,IDS / IPS,ICTO-23652
Security,Network Security,Network Threat Detection,IDS / IPS,ICTO-23645
Security,Cyber Security,Threat Detection & Response,Incident Management / Response,ICTO-32901
Security,Cyber Security,Threat Detection & Response,Incident Management / Response,ICTO-32899
Security,Cyber Security,Cyber Threat Intelligence,Intelligence Analysis,ICTO-31308
Security,Cyber Security,Cyber Threat Intelligence,Intelligence Analysis,ICTO-32622
Security,Cyber Security,Cyber Threat Intelligence,Intelligence Analysis,ICTO-29420
Security,Cyber Security,Cyber Threat Intelligence,Intelligence Analysis,ICTO-33019
Security,Application Security,Secure Integration,Interactive Application Security Testing,ICTO-31531
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-30569
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-19301
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-27899
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-28574
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-26231
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-22695
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-27605
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-29681
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-18801
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-24091
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-24436
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-25845
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-19889
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-23946
Security,Data Protection,Data Usage Monitoring,IRM Classification & Encryption,ICTO-12889
